stock_code,year,current_assets,current_liabilities,equity,capital,retained_earnings,net_working_capital,capital_impairment_ratio,is_capital_impaired,is_full_impairment,retained_earnings_deficit,audit_penalty_final,admin_designated,delisted,delisting_warning
372800,2021,42301577703.0,14199861381.0,2888490000.0,2888490000.0,3647553147.0,28101716322.0,0.0,0,0,0,0.0,0,0,0
372800,2022,30586912525.0,16018017066.0,2988495000.0,2988495000.0,-6312809561.0,14568895459.0,0.0,0,0,1,0.0,0,0,0
372800,2023,36637649841.0,30547881981.0,3013495000.0,3013495000.0,-13065190575.0,6089767860.0,0.0,0,0,1,0.0,0,0,0
372800,2024,46047664949.0,40997548853.0,3013495000.0,3013495000.0,-11637911394.0,5050116096.0,0.0,0,0,1,0.0,0,0,0
372800,2025,30264779762.0,34522512848.0,3023495000.0,3023495000.0,-17436238780.0,-4257733086.0,0.0,0,0,1,,0,0,0
005820,2016,68993883164.0,19446588462.0,11000000000.0,11000000000.0,58527118473.0,49547294702.0,0.0,0,0,0,0.0,0,0,0
005820,2017,67458552461.0,20564166443.0,11000000000.0,11000000000.0,61282253811.0,46894386018.0,0.0,0,0,0,0.0,0,0,0
005820,2018,68119829776.0,27291697882.0,11000000000.0,11000000000.0,64541984786.0,40828131894.0,0.0,0,0,0,0.0,0,0,0
005820,2019,77624672011.0,30072694419.0,11000000000.0,11000000000.0,67394401459.0,47551977592.0,0.0,0,0,0,0.0,0,0,0
005820,2020,98549746157.0,31449534655.0,11000000000.0,11000000000.0,82858156190.0,67100211502.0,0.0,0,0,0,0.0,0,0,0
005820,2021,91448899410.0,26662976267.0,11489850000.0,11489850000.0,82927316680.0,64785923143.0,0.0,0,0,0,0.0,0,0,0
005820,2022,78165685356.0,18918952101.0,11489850000.0,11489850000.0,89928968743.0,59246733255.0,0.0,0,0,0,0.0,0,0,0
005820,2023,99385495353.0,15814014566.0,11489850000.0,11489850000.0,96212425342.0,83571480787.0,0.0,0,0,0,0.0,0,0,0
005820,2024,102167521487.0,26019596905.0,11489850000.0,11489850000.0,98967274180.0,76147924582.0,0.0,0,0,0,0.0,0,0,0
005820,2025,102251223282.0,25609499743.0,11489850000.0,11489850000.0,99620871322.0,76641723539.0,0.0,0,0,0,,0,0,0
317530,2019,9224094860.0,2023843736.0,3380598000.0,3380598000.0,-3337669623.0,7200251124.0,0.0,0,0,1,,0,0,0
317530,2020,7464606908.0,3635319641.0,3380598000.0,3380598000.0,-7634302011.0,3829287267.0,0.0,0,0,1,0.0,0,0,0
317530,2021,6121450108.0,3521725894.0,3475598000.0,3475598000.0,-9855398137.0,2599724214.0,0.0,0,0,1,0.0,0,0,0
317530,2022,3051861177.0,2759534587.0,3480598000.0,3480598000.0,-10987569394.0,292326590.0,0.0,0,0,1,0.0,0,0,0
317530,2023,2173623017.0,5517430144.0,3485598000.0,3485598000.0,-16483268964.0,-3343807127.0,0.0,0,0,1,0.0,0,0,0
317530,2024,10187919704.0,5772073157.0,5019727000.0,5019727000.0,350214411.0,4415846547.0,0.0,0,0,0,0.0,0,0,0
317530,2025,4086558083.0,8268813089.0,5019727000.0,5019727000.0,-645698380.0,-4182255006.0,0.0,0,0,1,,0,0,0
068060,2018,20146622777.0,21472078930.0,2720000000.0,2720000000.0,625355154.0,-1325456153.0,0.0,0,0,0,0.0,0,0,0
068060,2019,20239411100.0,24542865624.0,2720000000.0,2720000000.0,-9579400034.0,-4303454524.0,0.0,0,0,1,0.0,0,0,0
068060,2020,12684316332.0,20179333041.0,2720000000.0,2720000000.0,-12445651710.0,-7495016709.0,0.0,0,0,1,,0,0,0
068060,2021,10918366539.0,20058748946.0,2720000000.0,2720000000.0,-15344572014.0,-9140382407.0,0.0,0,0,1,0.0,0,0,0
068060,2022,7402893586.0,9287792734.0,2720000000.0,2720000000.0,-4381193084.0,-1884899148.0,0.0,0,0,1,0.0,0,0,0
068060,2023,7899522417.0,10454321467.0,2720000000.0,2720000000.0,-5837736143.0,-2554799050.0,0.0,0,0,1,0.0,0,0,0
068060,2024,8481558885.0,5604348871.0,2720000000.0,2720000000.0,-5834831928.0,2877210014.0,0.0,0,0,1,0.0,0,0,0
068060,2025,7974830214.0,5396634919.0,2720000000.0,2720000000.0,-6095032367.0,2578195295.0,0.0,0,0,1,,0,0,0
321260,2021,23143179357.0,3839957425.0,2693208400.0,2693208400.0,14587161252.0,19303221932.0,0.0,0,0,0,0.0,0,0,0
321260,2022,26256897608.0,3410323339.0,2819208400.0,2819208400.0,18843369544.0,22846574269.0,0.0,0,0,0,0.0,0,0,0
321260,2023,33892428340.0,6660051288.0,2819208400.0,2819208400.0,22018609079.0,27232377052.0,0.0,0,0,0,0.0,0,0,0
321260,2024,35371787298.0,4731900135.0,2819208400.0,2819208400.0,26491640480.0,30639887163.0,0.0,0,0,0,0.0,0,0,0
321260,2025,32690605696.0,2529489584.0,2819208400.0,2819208400.0,26465486204.0,30161116112.0,0.0,0,0,0,,0,0,0
008730,2016,205444926986.0,183227887640.0,321188999478.0,,297902217807.0,22217039346.0,,0,0,0,0.0,0,0,0
008730,2017,206667597879.0,179278280663.0,14776380000.0,14776380000.0,312522313049.0,27389317216.0,0.0,0,0,0,0.0,0,0,0
008730,2018,207064558016.0,195907289213.0,14776380000.0,14776380000.0,311815063266.0,11157268803.0,0.0,0,0,0,0.0,0,0,0
008730,2019,208445036972.0,129920075884.0,14776380000.0,14776380000.0,317721420655.0,78524961088.0,0.0,0,0,0,0.0,0,0,0
008730,2020,219412627855.0,159793076119.0,14776380000.0,14776380000.0,323645234284.0,59619551736.0,0.0,0,0,0,0.0,0,0,0
008730,2021,269087937117.0,169609691671.0,14776380000.0,14776380000.0,321573944384.0,99478245446.0,0.0,0,0,0,0.0,0,0,0
008730,2022,237341571056.0,139456750168.0,14776380000.0,14776380000.0,309177218403.0,97884820888.0,0.0,0,0,0,0.0,0,0,0
008730,2023,260351010078.0,274039143086.0,14776380000.0,14776380000.0,281612727419.0,-13688133008.0,0.0,0,0,0,0.0,0,0,0
008730,2024,215983446615.0,213476851167.0,14776380000.0,14776380000.0,265858280024.0,2506595448.0,0.0,0,0,0,0.0,0,0,0
008730,2025,231372322375.0,221902011815.0,14776380000.0,14776380000.0,266209931862.0,9470310560.0,0.0,0,0,0,,0,0,0
019180,2016,95443114606.0,127209502525.0,9000000000.0,9000000000.0,47062004958.0,-31766387919.0,0.0,0,0,0,0.0,0,0,0
019180,2017,97727055508.0,137651143611.0,9000000000.0,9000000000.0,4357530594.0,-39924088103.0,0.0,0,0,0,0.0,0,0,0
019180,2018,110405242628.0,137686234704.0,9000000000.0,9000000000.0,7780361464.0,-27280992076.0,0.0,0,0,0,0.0,0,0,0
019180,2019,138230046951.0,147829585996.0,9000000000.0,9000000000.0,21650567171.0,-9599539045.0,0.0,0,0,0,0.0,0,0,0
019180,2020,139462053442.0,131756860262.0,9000000000.0,9000000000.0,7781729820.0,7705193180.0,0.0,0,0,0,0.0,0,0,0
019180,2021,177126134449.0,174819272741.0,9000000000.0,9000000000.0,23994321359.0,2306861708.0,0.0,0,0,0,0.0,0,0,0
019180,2022,188883233062.0,194765622089.0,9000000000.0,9000000000.0,20699437977.0,-5882389027.0,0.0,0,0,0,0.0,0,0,0
019180,2023,202306023248.0,211790140496.0,9000000000.0,9000000000.0,45343990966.0,-9484117248.0,0.0,0,0,0,0.0,0,0,0
019180,2024,238402470628.0,228723390670.0,9000000000.0,9000000000.0,74088837881.0,9679079958.0,0.0,0,0,0,0.0,0,0,0
019180,2025,298468100418.0,283121317166.0,9000000000.0,9000000000.0,95616283140.0,15346783252.0,0.0,0,0,0,,0,0,0
014970,2016,46822263654.0,49442877195.0,7562500000.0,7562500000.0,55820740268.0,-2620613541.0,0.0,0,0,0,0.0,0,0,0
014970,2017,49970312040.0,50892230856.0,7562500000.0,7562500000.0,59969392813.0,-921918816.0,0.0,0,0,0,,0,0,0
014970,2018,46492407596.0,50294462880.0,7562500000.0,7562500000.0,58842022087.0,-3802055284.0,0.0,0,0,0,,0,0,0
014970,2019,45957528486.0,47134150798.0,7562500000.0,7562500000.0,58343519042.0,-1176622312.0,0.0,0,0,0,,0,0,0
014970,2020,46123022598.0,31946361357.0,7562500000.0,7562500000.0,51911873577.0,14176661241.0,0.0,0,0,0,0.0,0,0,0
014970,2021,45302291345.0,40054794023.0,7562500000.0,7562500000.0,49706622001.0,5247497322.0,0.0,0,0,0,0.0,0,0,0
014970,2022,47738429673.0,44120096867.0,7562500000.0,7562500000.0,46454056316.0,3618332806.0,0.0,0,0,0,0.0,0,0,0
014970,2023,41957494219.0,36872224149.0,7562500000.0,7562500000.0,47042528830.0,5085270070.0,0.0,0,0,0,0.0,0,0,0
014970,2024,46919566754.0,42779742357.0,7562500000.0,7562500000.0,39745582268.0,4139824397.0,0.0,0,0,0,0.0,0,0,0
014970,2025,50384424136.0,45429290547.0,7562500000.0,7562500000.0,40783165944.0,4955133589.0,0.0,0,0,0,,0,0,0
042000,2017,53439668858.0,29500927816.0,3970307000.0,3970307000.0,-2423335730.0,23938741042.0,0.0,0,0,1,0.0,0,0,0
042000,2018,113137708710.0,31627501393.0,4715298500.0,4715298500.0,-30786119873.0,81510207317.0,0.0,0,0,1,0.0,0,0,0
042000,2019,101058494351.0,58174841028.0,4715298500.0,4715298500.0,17638037054.0,42883653323.0,0.0,0,0,0,0.0,0,0,0
042000,2020,114985445020.0,69477645313.0,4715298500.0,4715298500.0,24315491695.0,45507799707.0,0.0,0,0,0,0.0,0,0,0
042000,2021,111556348457.0,93752421693.0,11248599000.0,11248599000.0,5550202531.0,17803926764.0,0.0,0,0,0,0.0,0,0,0
042000,2022,107322559444.0,127265723511.0,11248599000.0,11248599000.0,-31468681790.0,-19943164067.0,0.0,0,0,1,0.0,0,0,0
042000,2023,119119814460.0,121259077121.0,11248599000.0,11248599000.0,-21825833555.0,-2139262661.0,0.0,0,0,1,,0,0,0
042000,2024,189009801831.0,111041940884.0,12126527000.0,12126527000.0,4714757826.0,77967860947.0,0.0,0,0,0,0.0,0,0,0
042000,2025,222218164357.0,121494750533.0,12126527000.0,12126527000.0,98081335655.0,100723413824.0,0.0,0,0,0,,0,0,0
190650,2023,,,31940000000.0,31940000000.0,50244275748.0,,0.0,0,0,0,0.0,0,0,0
190650,2024,,,31940000000.0,31940000000.0,54324186363.0,,0.0,0,0,0,0.0,0,0,0
190650,2025,,,31940000000.0,31940000000.0,58868423583.0,,0.0,0,0,0,0.0,0,0,0
065950,2016,153426987748.0,122148323234.0,12745248500.0,12745248500.0,-8684665663.0,31278664514.0,0.0,0,0,1,0.0,0,0,0
065950,2017,178826896815.0,140237808348.0,12745248500.0,12745248500.0,-10102820118.0,38589088467.0,0.0,0,0,1,0.0,0,0,0
065950,2018,218061814111.0,191005507979.0,12861798500.0,12861798500.0,-380623312.0,27056306132.0,0.0,0,0,1,0.0,0,0,0
065950,2019,178189599737.0,150638051263.0,13995252000.0,13995252000.0,-5156775854.0,27551548474.0,0.0,0,0,1,0.0,0,0,0
065950,2020,159801502507.0,129327607498.0,14115651000.0,14115651000.0,6437206045.0,30473895009.0,0.0,0,0,0,0.0,0,0,0
065950,2021,153955378658.0,94115902774.0,14115651000.0,14115651000.0,14477892116.0,59839475884.0,0.0,0,0,0,0.0,0,0,0
065950,2022,200799075556.0,187424610050.0,14115651000.0,14115651000.0,12572388686.0,13374465506.0,0.0,0,0,0,0.0,0,0,0
065950,2023,151439126738.0,123762309141.0,14115651000.0,14115651000.0,7965128300.0,27676817597.0,0.0,0,0,0,,0,0,0
065950,2024,156327870538.0,172613336861.0,14115651000.0,14115651000.0,3259493861.0,-16285466323.0,0.0,0,0,0,0.0,0,0,0
065950,2025,134679223781.0,147404056796.0,14115651000.0,14115651000.0,1431089529.0,-12724833015.0,0.0,0,0,0,,0,0,0
217950,2019,5798531243.0,3578602116.0,2024695500.0,2024695500.0,-14878932901.0,2219929127.0,0.0,0,0,1,0.0,0,0,0
217950,2020,6439000650.0,4652059464.0,2024695500.0,2024695500.0,-14857703209.0,1786941186.0,0.0,0,0,1,0.0,0,0,0
217950,2021,38218179721.0,22567819922.0,2024695500.0,2024695500.0,-12547183480.0,15650359799.0,0.0,0,0,1,0.0,0,0,0
217950,2022,42911103488.0,19576908440.0,2024695500.0,2024695500.0,-5126586035.0,23334195048.0,0.0,0,0,1,0.0,0,0,0
217950,2023,45184552752.0,28398466537.0,2032195500.0,2032195500.0,-2818236638.0,16786086215.0,0.0,0,0,1,0.0,0,0,0
217950,2024,49639257921.0,42565569374.0,2032195500.0,2032195500.0,7345343350.0,7073688547.0,0.0,0,0,0,0.0,0,0,0
361570,2021,41127047402.0,40817735726.0,3965295000.0,3965295000.0,12027330327.0,309311676.0,0.0,0,0,0,0.0,0,0,0
361570,2022,51091092995.0,41739766684.0,4809096500.0,4809096500.0,12592753353.0,9351326311.0,0.0,0,0,0,0.0,0,0,0
361570,2023,58582799718.0,82322060362.0,14394193500.0,14394193500.0,5911703398.0,-23739260644.0,0.0,0,0,0,0.0,0,0,0
361570,2024,42884720119.0,72481609952.0,14448193500.0,14448193500.0,-3281271105.0,-29596889833.0,0.0,0,0,1,0.0,0,0,0
