stock_code,corp_name,induty_code
036720,한빛네트,58221
040130,엔플렉스,58221
055000,동서정보기술,58221
032600,애드모바일,58221
056140,리더컴,26410
012400,허메스홀딩스,26429
045880,유티엑스,26410
037830,글로포스트,58221
030390,쏠라엔텍,46599
041320,보홍,46521
078420,동북아1호선박투자회사,71531
046350,에듀아크,2622
013650,데코,14112
015390,엘앤씨피,20491
019640,희훈디앤지,42
058690,퓨쳐인포넷,58221
035400,쓰리디넷,58221
024100,제일저축은행,64131
026540,제일창업투자,64209
016510,현대DSF,47111
950030,네프로아이티,63991
036790,자강,2642
038830,케이엠에스,2642
020070,에버리소스,46510
037110,제이에스,2642
007490,태창기업,13401
017300,에이치비이에너지,26
056850,코어비트,58221
082110,동북아8호선박투자회사,71531
045760,한국통신데이타,58221
062730,케너텍,291
055250,다휘,291
022520,코오롱아이넷,58221
004620,캠브리지코오롱,14111
089240,네오세미테크,2612
045260,디에이치패션,467
032380,핸디소프트,58221
009690,케이엠에이치,28302
035710,씨엘엘씨디,47919
114410,현대푸드시스템,56130
012420,메리츠종합금융,64919
034660,제넥셀세인,27111
065340,쓰리디월드,26
043680,스톰이앤에프,5911
035010,소예,467
048640,엠엔에프씨,22214
103150,하이트맥주,11
066690,보광티에스,2592
040740,아인스엠앤엠,59111
038420,씨엔씨엔터프라이즈,292
084810,아이알디,29271
067850,바이나믹,59114
086720,코크렙제7호위탁관리부동산투자회사,68112
054170,엔빅스,62021
054010,선팩테크,2629
001190,마이크로닉스,13109
033720,블루스톤디앤아이,58221
078700,신지소프트,58221
076850,맥쿼리센트럴오피스기업구조조정부동산투자회사,68112
048510,테스텍,29271
030030,중앙디자인,73201
042870,에코페트로시스템,46800
021060,한림창업투자,64209
036270,헤쎄나,2642
037510,미래에셋굿라이프혼합형자녀를위한투자회사10-1,64201
032030,일공공일안경콘택트,46493
043630,지앤알,27112
013240,셀런,26
093820,한국베트남15-1유전해외자원개발투자회사,64201
052310,에이치원바이오,58221
008400,씨앤중공업,30203
001370,FnC코오롱,1419
017010,제너비오믹스,27214
011050,케드콤,2642
065410,지엔텍홀딩스,74100
044640,동부씨엔아이,58221
051820,아이피에스,29271
046240,에스브이에이치,58221
060750,제이콤,2642
043790,옥션,4610
088020,네이쳐글로벌,2611
094950,GB블루오션베트남주식혼합형투자회사1호,64201
052210,엠씨티티코어,26410
032930,에이스앤파트너스,2642
061050,지앤디윈텍,2642
014010,인터피온반도체,2612
007800,솔로몬저축은행,64131
046320,엠트론스토리지테크놀로지,46510
031800,에스티앤아이,2611
060670,유퍼트,2811
074140,엑스로드,26429
068770,선우중공업,292
003020,남양,13922
015940,엘지데이콤,61210
045820,LG파워콤,61210
031960,동산진흥,14111
067950,티이씨,292
008320,한국기술산업,28302
017050,스타맥스,59111
024870,유성티에스아이,259
058550,네오리소스,2642
035950,케이알,2511
000790,씨앤상선,50112
058900,투미비티,58221
039990,코아정보시스템,62021
066340,케이에스리소스,2642
047600,세계투어,75210
122290,동양밸류오션기업인수목적,64999
077960,케이이엔지,29271
063280,사이버패스,58221
079870,산양전기,2622
032150,으뜸상호저축은행,64132
080570,국제개발,41224
004230,세신,25931
084160,골든브릿지더블유엠경매부동산일호투자회사,64209
061140,엘앤피아너스,26
038690,에이스일렉트로닉스,2622
090090,디앤샵,4791
054120,더체인지,2811
105380,다산자기관리부동산투자회사,6811
035500,써니트렌드,59111
054650,뉴젠비아이티,4659
033880,룩소네이트,14120
042100,현대오토넷,2629
016990,LG마이크론,2629
001600,서광건설산업,41221
036660,플러스프로핏,58111
037020,한와이어리스,62090
049690,포휴먼,715
023670,알이네트웍스,28303
101790,케이알제2호개발전문위탁관리부동산투자회사,68129
094520,미래에셋맵스오퍼튜니티베트남주식혼합형투자회사1호,64999
088960,씨티엘테크,263
052650,이디디컴퍼니,2642
032390,케이티프리텔,61220
035830,메카포럼,90191
048130,에스피코프,46800
045400,이롬텍,26
047450,이앤텍,26321
088810,맥스브로,2224
037700,토자이홀딩스,4659
013200,우방,4111
023020,동양매직,28519
900020,코웰이홀딩스유한공사,64992
078670,아구스,26
007480,대한은박지,24222
073130,인스프리트,58221
079340,하이럭스,26211
053070,트리니티,2642
032570,카라반케이디이,26310
045380,더존디지털웨어,58221
080140,디보스,26
045290,포네이처,2811
076090,테이크시스템즈,29272
033190,폴켐,2219
007050,유리이에스,29230
047370,에프아이투어,2642
085680,모빌탑,58221
052970,올리브나인,59114
030420,디패션,63991
025970,알덱스,24222
016160,오라바이오틱스,26
037320,시노펙스그린테크,46510
059720,야호커뮤니케이션,63991
048760,브이케이,28202
063350,팬택앤큐리텔,2642
025460,팬텀엔터테인먼트그룹,73901
052560,삼성수산,03112
084240,동북아15호선박투자회사,71531
033260,쌈지,15121
018890,브이오산업,2229
041800,코디콤,26
052640,제네시스엔알디,62021
080410,동북아6호선박투자회사,71531
041450,인네트,62021
098150,한국월드와이드아시아태평양특별자산1호투자회사,64201
039350,헤파호프코리아,27199
006210,휴리프,26
057100,하이스마텍,58221
108070,삼성디지털이미징,27
037150,씨제이인터넷,5821
056200,엠넷미디어,58221
045710,온미디어,64992
039040,유니텍전자,4659
019430,위더스기술금융,64209
037550,클라스타,58221
052810,아시아미디어홀딩스,58221
056010,아이스테이션,263
088010,동북아21호선박투자회사,71531
036550,에이스디지텍,26211
007830,부산저축은행,64132
068630,에피밸리,2642
053470,오페스,26410
047710,액티투오,2642
038920,에이치에스씨홀딩스,58221
027840,한국고덴시,2612
036850,나리지*온,2612
014420,프로비타,26
069470,제로원인터랙티브,63991
000610,제일화재해상보험,65121
083120,동북아9호선박투자회사,71531
051530,굿이엠지,59201
066850,아이드림,27
004820,조인에너지,467
048140,태광이엔시,28123
004790,렉스엘이앤지,26
093400,코리아퍼시픽05호선박투자회사,76190
048460,엑큐리스,2622
025920,우경,2419
081220,세미텍,2612
000470,그린손해보험,65121
040180,대양글로벌,62021
046720,엔하이테크,2612
073930,제너시스템즈,58221
015050,엘트온,26211
036210,태산엘시디,26211
012090,성원건설,41221
004550,대우송도개발,45110
018410,현대금속,25932
034010,트라이써클,85503
126680,아이비케이에스스마트에스엠이기업인수목적1호,6619
037540,네스테크,27212
080980,동북아5호선박투자회사,71531
101990,파브코,30
122750,우리기업인수목적1호,6619
054150,뉴젠아이씨티,46510
041630,인젠,58221
036920,지앤에스티,46103
090540,코크렙제8호위탁관리부동산투자회사,68112
003640,유니온스틸,24122
001670,경남모직,13212
121910,대우증권그린코리아기업인수목적회사,64999
033850,지노시스템,58222
123290,한국투자신성장1호기업인수목적회사,66199
066060,휴먼텍코리아,72129
071660,에스에스씨피,2049
089480,평산,25912
036610,지디코프,59114
081190,아시아퍼시픽2호선박투자회사,76190
034510,무한투자,64209
128910,동부티에스블랙펄기업인수목적,66199
053040,블루젬디앤씨,204
123300,부국퓨쳐스타즈기업인수목적,64
049000,예당컴퍼니,59201
032420,터보테크,2642
008540,케이비물산,14120
900030,연합과기공고유한공사,64992
012410,글로스텍,2611
950070,중국고섬공고유한공사,6499
093410,코리아퍼시픽06호선박투자회사,76190
010670,나노트로닉스,27212
121950,미래에셋제1호기업인수목적,6619
037380,에이원마이크로,141
045470,에이프로테크놀로지,27216
110310,모린스,2629
091690,디지텍시스템스,263
011800,배명금속,24122
080970,동북아4호선박투자회사,71531
040020,사라콤,2642
065610,폴리플러스,20202
085990,영찬테크,29271
149130,케이비부국제1호개발전문위탁관리부동산투자회사,68121
081930,아시아퍼시픽8호선박투자회사,76190
007200,진흥저축은행,64131
009010,에듀언스,85501
900150,성융광전투자유한공사,6499
066300,샤인시스템,22211
081090,씨모텍,2642
014900,에스컴,68112
080180,아시아퍼시픽1호선박투자회사,76190
081200,아시아퍼시픽3호선박투자회사,76190
025610,한국저축은행,64131
056710,미리넷,26410
900010,3노드디지탈그룹유한공사,64992
038720,유일엔시스,29271
064420,케이피케미칼,20111
041030,이루넷,5811
123550,대신증권그로쓰알파기업인수목적,64999
071530,유에이블,15129
019120,경윤하이드로에너지,291
004010,롯데미도파,47111
124050,한화에스브이명장제1호기업인수목적,66
019260,셀텍,13101
123910,에스비아이앤솔로몬드림기업인수목적,64999
056810,위다스,26429
008080,에스와이코퍼레이션,27
042820,어울림네트웍스,2642
038120,에이디모터스,27199
037240,평안물산,261
013780,아큐텍,2629
123160,히든챔피언제1호기업인수목적,649
080030,동북아2호선박투자회사,71531
105070,금강제강,24312
041060,아라온테크,58221
053000,우리금융지주,64992
042340,대국,46800
034600,글로웍스,58221
900060,중국식품포장유한공사,64992
080960,동북아3호선박투자회사,71531
035450,지아이바이오,62021
046430,알에스넷,4659
072530,나이스메탈,2611
003330,하나IB증권,66121
042570,퓨쳐비젼,26
045310,이레전자산업,2642
047420,레이더스컴퍼니,58221
038810,포이보스,18200
053890,미디어코프,5811
073780,케이디세코,26
066200,이노블루,46521
078610,도움,2642
081500,엑스씨이,58221
011020,코오롱유화,20202
050600,세라온홀딩스,263
083160,현대경매부동산일호투자회사,64201
060550,우수씨엔에스,14120
093730,동북아31호선박투자회사,71531
032050,후야인포넷,26410
036900,이레아이엔씨,29180
005330,카스코,30
064720,모델라인,2642
035270,청람디지탈,2642
041940,한텔,2642
053170,코스모스피엘씨,58221
071360,나노하이텍,26211
036360,쓰리소프트,58221
038410,트라이콤,46510
036760,케이엔에스홀딩스,263
076170,지비에스,25933
065910,피더블유제네틱스,62021
054440,엠텍반도체,29221
056060,세니콘,2642
065810,유씨아이콜스,58221
073530,코크렙제3호CR리츠,68112
057110,아이티센네트웍스,62021
072450,리얼티코리아제1호기업구조조정부동산투자,68112
003990,BHK,46800
048270,포넷,5811
009890,맥슨텔레콤,2642
032590,엔토리노,2642
033330,두림티앤씨,22214
089170,동북아27호선박투자회사,71531
089180,동북아28호선박투자회사,71531
089200,동북아30호선박투자회사,71531
089190,동북아29호선박투자회사,71531
038960,현주컴퓨터,26310
012990,LG석유화학,20111
058680,오브제,14112
009790,휴닉스,2622
066330,세이프아시아,75310
067910,코크렙제1호기업구조조정부동산투자회사,68112
005760,위너스인프라인,1419
015670,AP우주통신,26
044370,조이토토,58221
060660,한도하이테크,62021
055970,에너윈,62090
073470,유레스메리츠제1호,68112
064900,교보메리츠퍼스트기업구조조정부동산투자회사,68119
085450,굿앤리치부동산공경매투자회사1호,64201
025830,한국합섬,13213
088510,굿앤리치부동산공경매투자회사2호,64201
016040,디에스피이엔티,30
037060,시큐어소프트,58221
001830,동부일렉트로닉스,2612
003660,고려시멘트,23311
060410,베스트플로우,73901
056020,쿨투,27199
012460,우영,26
041310,모빌링크텔레콤,58221
010200,극동제혁,15110
025450,한마음상호저축은행,64131
009220,그로웰전자,2642
003930,부흥,14111
009080,퍼시픽글라스,23192
008780,아이인프라,2629
016970,씨크롭,25119
038400,외환신용카드,64913
033210,삼화기연,2811
037250,대흥멀티미디어통신,2642
018180,텔슨정보통신,2642
036820,비이티,26410
063510,코오롱인터내셔널,46800
037750,엔써커뮤니티,62021
039000,써미트테크놀로지,263
027440,코리아이앤디,28202
038050,트래픽아이티에스,28901
035870,호성,13992
037220,넥스텔,58221
037730,쓰리알,26
035780,그로웰텔레콤,26410
001150,서통,20202
043690,테크메이트,2642
036020,한아시스템,26410
053250,엔에스아이,263
055810,케이티씨텔레콤,2642
054530,신한SIT,72919
004190,스마텔,2629
025690,동방라이텍,28410
008030,아이텍스필,1419
032180,이수세라믹,2629
070540,코크렙제2호기업구조조정부동산투자회사,68112
002850,영풍산업,06200
048150,모닷텔,2642
003590,광덕물산,14111
005890,동원증권,66121
054080,우주통신,2642
019930,기라정보통신,2642
027350,텔슨전자,26410
048540,하이콤정보통신,62021
037500,미래에셋굿라이프혼합형자녀를위한펀드5-1,64201
006150,한메엔에스,2622
038980,이지클럽,4610
037010,넷컴스토리지,263
046000,모디아,62021
037650,성진산업,25932
038100,아이엠아이티,58221
036880,맥시스템,26410
056500,슈마일렉트론,263
006750,센추리,29172
009360,베네데스하이텍,46800
032610,에스오케이,75310
036910,세원텔레콤,2642
036060,한강구조조정기금,66199
036590,케이엔티,291
009940,대아리드선,2629
031150,국민은행,64121
047610,월드텔레콤,26
054370,업필,26410
045920,화림모드,14112
000380,대아건설,41221
042960,창민테크,27215
049370,씨제이엔터테인먼트,59130
027700,대백쇼핑,47111
036600,지니웍스,13219
001580,신광기업,28410
023420,유진종합개발,23322
066480,휘튼,85701
031970,엠바이엔,263
002950,두산건설,41221
001980,대호,41221
037120,한신코퍼레이션,59112
010730,금강화섬,13103
001280,우리증권,66121
039580,피코소프트,58221
035960,바이오시스,27111
039390,윌텍정보통신,2642
002930,삼도물산,46413
035910,현대멀티캡,26310
144630,씨아이에스,292
090970,코리아퍼시픽01호선박투자회사,76190
090980,코리아퍼시픽02호선박투자회사,76190
086830,신양오라컴디스플레이,264
037620,미래에셋증권,66121
050640,이룸지엔지,58221
194860,에스와이이노베이션,22232
090990,코리아퍼시픽03호선박투자회사,76190
091000,코리아퍼시픽04호선박투자회사,76190
050050,유아이에너지,26410
083610,아시아퍼시픽14호선박투자회사,76190
083600,아시아퍼시픽13호선박투자회사,76190
083570,아시아퍼시픽10호선박투자회사,76190
204760,현대에이블기업인수목적1호,661
083580,아시아퍼시픽11호선박투자회사,76190
083590,아시아퍼시픽12호선박투자회사,76190
004320,호반산업,41221
082930,실리콘화일,2611
058370,비엔씨컴퍼니,46721
083360,동북아11호선박투자회사,761
083390,동북아14호선박투자회사,761
074130,디아이디,26211
025270,부산방직공업,131
034750,현대에이치씨엔동작방송,60222
065270,플렉스컴,262
160350,웹솔루스,58221
088700,마이스코,25912
222520,솔트웍스,58222
011720,현대페인트,20411
117930,한진해운,501
045050,글라소울,28123
025930,팬택자산관리,2642
068150,케이엔씨글로벌,424
078780,아이디에스,262
017170,훈영,591
007190,한솔아트원제지,171
074150,엠제이비,42
092630,바다로3호선박투자회사,76190
053810,아이팩토리,29271
114130,거북선5호선박투자회사,76190
114140,거북선6호선박투자회사,76190
000830,삼성물산,467
082390,피엘에이,26211
063840,닉스테크,58221
081940,아시아퍼시픽9호선박투자회사,76190
108890,거북선4호선박투자회사,76190
015110,중앙건설,41112
042950,미래에셋새천년코리아벤처펀드일호,64201
002860,하나은행,64121
071930,에이스하이텍,2629
039850,태창파로스,46
950010,평산차업집단유한공사,64992
179280,스탠다드펌,24212
002530,벽산건설,41112
016420,NH농협증권,66121
081210,아시아퍼시픽4호선박투자회사,76190
025850,한화화인케미칼,20119
224090,정다운,1011
033030,지오엠씨,26
031950,에듀패스,263
026230,아이디에이치,2922
134000,거북선7호선박투자회사,76190
016560,서울상호저축은행,64131
040670,와이즈파워,28123
121550,코크렙제15호기업구조조정부동산투자회사,681
043890,티브로드한빛방송,60222
102000,거북선3호선박투자회사,76190
013450,동성하이켐,20111
067130,클루넷,62090
099210,코리아퍼시픽07호선박투자회사,76190
056340,씨유전자,2629
158380,삼목강업,30
037630,에스비엠,29180
044440,솔빛미디어,85691
119250,에프지엔개발전문자기관리부동산투자회사,68
187770,판타지오,73901
010520,현대하이스코,2413
092970,거북선1호선박투자회사,64999
052350,코아에스앤아이,27214
181980,자원메디칼,27199
026250,삼우이엠씨,25112
038320,어울림정보기술,58221
035210,티브로드도봉강북방송,60222
008900,티이씨앤코,28302
010460,화인자산관리,66199
000420,로케트전기,28201
014350,신일건업,4111
001300,제일모직,20202
139170,퓨얼셀파워,27215
950100,아루히,64919
053870,지티앤티,26429
052880,모아에스앤에스,75999
033280,어울림엘시스,58221
138440,이코리아자기관리부동산투자회사,681
003600,SK,64992
103650,에이치앤아이,26292
051710,디에스,26211
110500,유니드코리아,292
072430,아이레보,2599
010150,포스코티엠씨,2629
101380,거북선2호선박투자회사,76190
082240,아시아퍼시픽5호선박투자회사,76190
082260,아시아퍼시픽7호선박투자회사,76190
082250,아시아퍼시픽6호선박투자회사,76190
207930,에스케이제1호기업인수목적,661
215580,대우기업인수목적3호,66199
207720,엔에이치에스엘기업인수목적,66199
204650,케이티비기업인수목적1호,661
215750,미래에셋제3호기업인수목적,66199
110570,넥솔론,2612
189700,디피앤케이,141
156170,비앤에스미디어,263
085980,세화피앤씨,20423
232290,에스지에이시스템즈,582
900130,웨이포트유한공사,64992
232360,아스팩오일,192
139200,하이골드오션2호선박투자회사,76190
206660,골든브릿지제2호기업인수목적,661
005620,대성합동지주,715
900050,중국원양자원유한공사,64992
083620,아시아퍼시픽15호선박투자회사,76190
208870,하나머스트3호기업인수목적,66199
104120,신성에프에이,292
104110,신성이엔지,292
061460,한진피앤씨,2221
192240,나이코,179
204440,대우기업인수목적2호,66199
036500,에스에스컴텍,201
083350,동북아10호선박투자회사,761
219580,골든브릿지제3호기업인수목적,66199
086200,제이앤유글로벌,2642
222390,케이비제8호기업인수목적,661
256090,패션플랫폼,14112
218710,키움제3호기업인수목적,661
221200,유진기업인수목적3호,661
219860,한화에이스기업인수목적2호,661
217810,엔에이치기업인수목적7호,661
223040,교보5호기업인수목적,661
221950,케이비드림투게더제3호기업인수목적,661
219960,유안타제2호기업인수목적,661
252940,에스엠로보틱스,33402
246830,시냅스엠,63120
230490,동부제4호기업인수목적,661
235090,태경피엔에스,292
016170,카카오엠,182
051170,썬코어,29142
237720,케이엠제약,20422
226850,키움제4호기업인수목적,66199
008000,도레이케미칼,20501
207230,디와이엘엔제이,28303
095300,엔에스브이,29133
090730,심팩메탈,24113
130960,씨제이이앤엠,602
225440,이베스트기업인수목적3호,64999
900180,완리인터내셔널홀딩스,64992
024660,하림홀딩스,64992
004130,대덕GDS,2622
026260,위너지스,468
087220,스틸플라워,2413
900290,GRT,64992
052290,트레이스,2629
232270,케이비제9호기업인수목적,661
235010,하이에이아이1호기업인수목적,66199
038990,넥스콘테크놀러지,28202
047060,덴소코리아,30
082220,프렉코,26422
900090,차이나하오란리사이클링유한공사,64992
123100,원익테라세미콘,29271
167380,나무기술,582
240540,한국제4호기업인수목적,661
099830,씨그널엔터테인먼트그룹,591
272420,극동자동화,423
007910,세원화성,20202
111610,세왕,42
251540,에스와이제이,141
144740,피엠디아카데미,855
242420,본느,204
140890,트러스와이제7호위탁관리부동산투자회사,68112
015170,중앙바이오텍,21230
030950,보진재,18113
900260,로스웰,64992
250300,제이에스피브이,28909
230400,자비스,271
265480,미래에셋대우기업인수목적1호,661
135270,세종머티리얼즈,242
257730,신한제3호기업인수목적,661
229480,줌인터넷,63120
226610,한국비엔씨,271
247300,인프라웨어테크놀러지,58222
264290,한화에이스기업인수목적3호,661
039530,씨앤케이인터내셔널,06200
122050,아이엘사이언스,28422
176560,포인트엔지니어링,259
077280,한컴지엠디,582
023430,아이이,467
026220,에스티씨라이프,47813
265920,한화수성기업인수목적,66199
026180,현대정보기술,62021
232330,에스케이제3호기업인수목적,661
242850,영현무역,461
262830,대신밸런스제4호기업인수목적,66199
122800,썬테크놀로지스,24311
007150,동양텔레콤,26
252370,유쎌,20423
210610,소프트캠프,58222
271400,알로이스,26421
043580,에임하이글로벌,262
271740,한국제5호기업인수목적,66199
065180,해피드림,49301
083380,동북아13호선박투자회사,761
047440,디케이씨,26211
204690,다린,22232
159650,하이골드오션8호국제선박투자회사,761
065310,더스텔라,15129
900040,차이나그레이트스타인터내셔널리미티드,64992
004740,보루네오가구,32029
205290,케미메디,701
189540,씨티네트웍스,26410
185280,이푸른,46203
094700,미성포리테크,2629
123260,파인넥스,2612
004200,고려개발,41221
276920,아이비케이에스제7호기업인수목적,6619
251960,엠에프엠코리아,143
284610,티에스트릴리온,20423
220110,드림티엔터테인먼트,73901
083370,동북아12호선박투자회사,761
088980,맥쿼리인프라,64201
108790,인터파크,4791
277480,신한제4호기업인수목적,66199
900250,크리스탈신소재,64992
152330,코리아오토글라스,2311
220250,카이노스메드,70113
099350,하나유비에스암바토비니켈해외자원개발2호,64201
099340,하나유비에스암바토비니켈해외자원개발1호,64201
291210,한국제7호기업인수목적,66199
030270,에스마크,13101
035480,글로앤웰,46595
279410,한화에이스기업인수목적4호,661
281410,한국제6호기업인수목적,66199
099660,신텍,25130
197210,리드,29272
039790,위노바,204
036260,이매진아시아,591
023890,한국아트라스비엑스,28202
005190,동성화학,201
329050,구스앤홈,13221
310840,엔에이치기업인수목적13호,661
103130,웅진에너지,261
105840,우진,27216
900080,에스앤씨엔진그룹리미티드,64992
101930,인화정공,31114
005710,대원산업,303
000490,대동,29210
001590,일화모직공업,13212
311270,키움제5호기업인수목적,661
001820,삼화콘덴서공업,26291
000910,유니온,23311
049800,우진플라임,292
065160,라임,20501
023600,삼보판지,171
172580,하이골드오션12호국제선박투자회사,761
200880,서연이화,303
045890,금빛,284
001070,대한방직,132
011420,갤럭시아에스엠,911
031990,대선조선,3111
217500,러셀,292
091270,유디피,58222
317030,케이비제17호기업인수목적,661
307160,하나머스트제6호기업인수목적,66199
900310,컬러레이,649
086080,다이노나,70113
213090,미래테크놀로지,58221
101060,SBS미디어홀딩스,602
026150,특수건설,412
900300,오가닉티코스메틱,64992
000700,유수홀딩스,715
033110,코너스톤네트웍스,471
028150,지에스홈쇼핑,602
053060,세동,303
224880,에스지에이클라우드서비스,582
014620,성광벤드,24133
900110,이스트아시아홀딩스,64992
313750,유안타제4호기업인수목적,66199
317320,한화에스비아이기업인수목적,66199
006340,대원전선,28302
094190,이엘케이,26299
068240,다원시스,2811
158300,에스에이티,29271
323940,케이비제18호기업인수목적,661
263860,지니언스,58221
006910,보성파워텍,2511
323210,이베스트이안기업인수목적1호,661
014530,극동유화,19221
253610,루트락,467
025340,그린기술투자,64209
307070,에스케이에이씨피씨제4호기업인수목적,661
079440,오렌지라이프생명보험,65110
080440,에스제이케이,467
053450,세코닉스,273
117730,티로보틱스,29271
079560,넥스피안,2629
183350,엘피케이로보틱스,29280
015860,일진홀딩스,64992
299030,하나기술,29299
002620,제일파마홀딩스,715
004700,조광피혁,15110
263690,디알젬,27111
084730,팅크웨어,264
281740,레이크머티리얼즈,204
189300,인텔리안테크,26429
214260,라파스,20423
332370,아이디피,26329
039110,에스피컴텍,68112
109820,진매트릭스,70113
032040,씨앤에스자산관리,759
058970,엠로,582
290740,액트로,262
095610,테스,29271
090120,잘만테크,263
087260,모바일어플라이언스,582
049950,미래컴퍼니,29271
353590,오토앤,4521
109860,동일금속,24312
083930,아바코,29272
066310,큐에스아이,2612
