stock_code,quarter,상장폐지 여부,관리종목 여부,감사의견
10.0,2023Q3,상장,N,기타/확인필요
10.0,2023Q4,상장,N,적정
10.0,2024Q1,상장,N,적정
10.0,2024Q2,상장,N,적정
10.0,2024Q3,상장,N,적정
10.0,2024Q4,상장,N,기타/확인필요
10.0,2025Q1,상장,N,기타/확인필요
10.0,2025Q2,상장,N,기타/확인필요
10.0,2025Q3,상장,N,기타/확인필요
20.0,2020Q1,상장,N,기타/확인필요
20.0,2020Q2,상장,N,기타/확인필요
20.0,2020Q3,상장,N,기타/확인필요
20.0,2020Q4,상장,N,적정
20.0,2021Q1,상장,N,적정
20.0,2021Q2,상장,N,적정
20.0,2021Q3,상장,N,적정
20.0,2021Q4,상장,N,적정
20.0,2022Q1,상장,N,적정
20.0,2022Q2,상장,N,적정
20.0,2022Q3,상장,N,적정
20.0,2022Q4,상장,N,적정
20.0,2023Q1,상장,N,적정
20.0,2023Q2,상장,N,적정
20.0,2023Q3,상장,N,적정
20.0,2023Q4,상장,N,적정
20.0,2024Q1,상장,N,적정
20.0,2024Q2,상장,N,기타/확인필요
20.0,2024Q3,상장,N,기타/확인필요
20.0,2024Q4,상장,N,기타/확인필요
20.0,2025Q1,상장,N,기타/확인필요
20.0,2025Q2,상장,N,기타/확인필요
20.0,2025Q3,상장,N,기타/확인필요
30.0,2023Q3,상장,N,기타/확인필요
30.0,2023Q4,상장,N,기타/확인필요
30.0,2024Q1,상장,N,기타/확인필요
30.0,2024Q2,상장,N,기타/확인필요
30.0,2024Q3,상장,N,기타/확인필요
30.0,2024Q4,상장,N,기타/확인필요
30.0,2025Q1,상장,N,기타/확인필요
30.0,2025Q2,상장,N,기타/확인필요
30.0,2025Q3,상장,N,기타/확인필요
40.0,2020Q1,상장,N,기타/확인필요
40.0,2020Q2,상장,N,적정
40.0,2020Q3,상장,N,적정
40.0,2020Q4,상장,N,적정
40.0,2021Q1,상장,N,적정
40.0,2021Q2,상장,N,적정
40.0,2021Q3,상장,N,적정
40.0,2021Q4,상장,N,적정
40.0,2022Q1,상장,N,적정
40.0,2022Q2,상장,N,적정
40.0,2022Q3,상장,N,적정
40.0,2022Q4,상장,N,적정
40.0,2023Q1,상장,N,적정
40.0,2023Q2,상장,N,적정
40.0,2023Q3,상장,N,적정
40.0,2023Q4,상장,N,적정
40.0,2024Q1,상장,N,적정
40.0,2024Q2,상장,N,기타/확인필요
40.0,2024Q3,상장,N,기타/확인필요
40.0,2024Q4,상장,N,기타/확인필요
40.0,2025Q1,상장,N,기타/확인필요
40.0,2025Q2,상장,N,기타/확인필요
40.0,2025Q3,상장,N,기타/확인필요
50.0,2020Q1,상장,N,기타/확인필요
50.0,2020Q2,상장,N,기타/확인필요
50.0,2020Q3,상장,N,기타/확인필요
50.0,2020Q4,상장,N,기타/확인필요
50.0,2021Q1,상장,N,기타/확인필요
50.0,2021Q2,상장,N,적정
50.0,2021Q3,상장,N,적정
50.0,2021Q4,상장,N,적정
50.0,2022Q1,상장,N,적정
50.0,2022Q2,상장,N,적정
50.0,2022Q3,상장,N,적정
50.0,2022Q4,상장,N,적정
50.0,2023Q1,상장,N,적정
50.0,2023Q2,상장,N,적정
50.0,2023Q3,상장,N,적정
50.0,2023Q4,상장,N,적정
50.0,2024Q1,상장,N,적정
50.0,2024Q2,상장,N,기타/확인필요
50.0,2024Q3,상장,N,기타/확인필요
50.0,2024Q4,상장,N,기타/확인필요
50.0,2025Q1,상장,N,기타/확인필요
50.0,2025Q2,상장,N,기타/확인필요
50.0,2025Q3,상장,N,기타/확인필요
60.0,2023Q3,상장폐지,N,기타/확인필요
60.0,2023Q4,상장폐지,N,적정
60.0,2024Q1,상장폐지,N,적정
60.0,2024Q2,상장폐지,N,기타/확인필요
60.0,2024Q3,상장폐지,N,기타/확인필요
60.0,2024Q4,상장폐지,N,기타/확인필요
60.0,2025Q1,상장폐지,N,기타/확인필요
60.0,2025Q2,상장폐지,N,기타/확인필요
60.0,2025Q3,상장폐지,N,기타/확인필요
80.0,2020Q1,상장,N,기타/확인필요
80.0,2020Q2,상장,N,적정
80.0,2020Q3,상장,N,적정
80.0,2020Q4,상장,N,적정
80.0,2021Q1,상장,N,적정
80.0,2021Q2,상장,N,적정
80.0,2021Q3,상장,N,적정
80.0,2021Q4,상장,N,적정
80.0,2022Q1,상장,N,적정
80.0,2022Q2,상장,N,적정
80.0,2022Q3,상장,N,적정
80.0,2022Q4,상장,N,적정
80.0,2023Q1,상장,N,적정
80.0,2023Q2,상장,N,적정
80.0,2023Q3,상장,N,적정
80.0,2023Q4,상장,N,적정
80.0,2024Q1,상장,N,적정
80.0,2024Q2,상장,N,기타/확인필요
80.0,2024Q3,상장,N,기타/확인필요
80.0,2024Q4,상장,N,기타/확인필요
80.0,2025Q1,상장,N,기타/확인필요
80.0,2025Q2,상장,N,기타/확인필요
80.0,2025Q3,상장,N,기타/확인필요
100.0,2020Q1,상장,N,기타/확인필요
100.0,2020Q2,상장,N,적정
100.0,2020Q3,상장,N,적정
100.0,2020Q4,상장,N,적정
100.0,2021Q1,상장,N,적정
100.0,2021Q2,상장,N,적정
100.0,2021Q3,상장,N,적정
100.0,2021Q4,상장,N,적정
100.0,2022Q1,상장,N,적정
100.0,2022Q2,상장,N,적정
100.0,2022Q3,상장,N,적정
100.0,2022Q4,상장,N,적정
100.0,2023Q1,상장,N,적정
100.0,2023Q2,상장,N,적정
100.0,2023Q3,상장,N,적정
100.0,2023Q4,상장,N,적정
100.0,2024Q1,상장,N,적정
100.0,2024Q2,상장,N,기타/확인필요
100.0,2024Q3,상장,N,기타/확인필요
100.0,2024Q4,상장,N,기타/확인필요
100.0,2025Q1,상장,N,기타/확인필요
100.0,2025Q2,상장,N,기타/확인필요
100.0,2025Q3,상장,N,기타/확인필요
110.0,2023Q3,상장,N,기타/확인필요
110.0,2023Q4,상장,N,적정
110.0,2024Q1,상장,N,적정
110.0,2024Q2,상장,N,기타/확인필요
110.0,2024Q3,상장,N,기타/확인필요
110.0,2024Q4,상장,N,기타/확인필요
110.0,2025Q1,상장,N,기타/확인필요
110.0,2025Q2,상장,N,기타/확인필요
110.0,2025Q3,상장,N,기타/확인필요
120.0,2020Q1,상장,N,기타/확인필요
120.0,2020Q2,상장,N,기타/확인필요
120.0,2020Q3,상장,N,기타/확인필요
120.0,2020Q4,상장,N,기타/확인필요
120.0,2021Q1,상장,N,기타/확인필요
120.0,2021Q2,상장,N,기타/확인필요
120.0,2021Q3,상장,N,기타/확인필요
120.0,2021Q4,상장,N,기타/확인필요
