stock_code,year,quarter,상장폐지 여부,관리종목 여부,감사의견,Y_label
10,2023,3,상장,N,기타/확인필요,0
10,2023,4,상장,N,적정,0
10,2024,1,상장,N,적정,0
10,2024,2,상장,N,적정,0
10,2024,3,상장,N,적정,0
10,2024,4,상장,N,기타/확인필요,0
10,2025,1,상장,N,기타/확인필요,0
10,2025,2,상장,N,기타/확인필요,0
10,2025,3,상장,N,기타/확인필요,0
20,2020,1,상장,N,기타/확인필요,0
20,2020,2,상장,N,기타/확인필요,0
20,2020,3,상장,N,기타/확인필요,0
20,2020,4,상장,N,적정,0
20,2021,1,상장,N,적정,0
20,2021,2,상장,N,적정,0
20,2021,3,상장,N,적정,0
20,2021,4,상장,N,적정,0
20,2022,1,상장,N,적정,0
20,2022,2,상장,N,적정,0
20,2022,3,상장,N,적정,0
20,2022,4,상장,N,적정,0
20,2023,1,상장,N,적정,0
20,2023,2,상장,N,적정,0
20,2023,3,상장,N,적정,0
20,2023,4,상장,N,적정,0
20,2024,1,상장,N,적정,0
20,2024,2,상장,N,기타/확인필요,0
20,2024,3,상장,N,기타/확인필요,0
20,2024,4,상장,N,기타/확인필요,0
20,2025,1,상장,N,기타/확인필요,0
20,2025,2,상장,N,기타/확인필요,0
20,2025,3,상장,N,기타/확인필요,0
30,2023,3,상장,N,기타/확인필요,0
30,2023,4,상장,N,기타/확인필요,0
30,2024,1,상장,N,기타/확인필요,0
30,2024,2,상장,N,기타/확인필요,0
30,2024,3,상장,N,기타/확인필요,0
30,2024,4,상장,N,기타/확인필요,0
30,2025,1,상장,N,기타/확인필요,0
30,2025,2,상장,N,기타/확인필요,0
30,2025,3,상장,N,기타/확인필요,0
40,2020,1,상장,N,기타/확인필요,0
40,2020,2,상장,N,적정,0
40,2020,3,상장,N,적정,0
40,2020,4,상장,N,적정,0
40,2021,1,상장,N,적정,0
40,2021,2,상장,N,적정,0
40,2021,3,상장,N,적정,0
40,2021,4,상장,N,적정,0
40,2022,1,상장,N,적정,0
40,2022,2,상장,N,적정,0
40,2022,3,상장,N,적정,0
40,2022,4,상장,N,적정,0
40,2023,1,상장,N,적정,0
40,2023,2,상장,N,적정,0
40,2023,3,상장,N,적정,0
40,2023,4,상장,N,적정,0
40,2024,1,상장,N,적정,0
40,2024,2,상장,N,기타/확인필요,0
40,2024,3,상장,N,기타/확인필요,0
40,2024,4,상장,N,기타/확인필요,0
40,2025,1,상장,N,기타/확인필요,0
40,2025,2,상장,N,기타/확인필요,0
40,2025,3,상장,N,기타/확인필요,0
50,2020,1,상장,N,기타/확인필요,0
50,2020,2,상장,N,기타/확인필요,0
50,2020,3,상장,N,기타/확인필요,0
50,2020,4,상장,N,기타/확인필요,0
50,2021,1,상장,N,기타/확인필요,0
50,2021,2,상장,N,적정,0
50,2021,3,상장,N,적정,0
50,2021,4,상장,N,적정,0
50,2022,1,상장,N,적정,0
50,2022,2,상장,N,적정,0
50,2022,3,상장,N,적정,0
50,2022,4,상장,N,적정,0
50,2023,1,상장,N,적정,0
50,2023,2,상장,N,적정,0
50,2023,3,상장,N,적정,0
