stock_code,year,quarter,상장폐지 여부,관리종목 여부,감사의견
10,2023,3,상장,N,기타/확인필요
10,2023,4,상장,N,적정
10,2024,1,상장,N,적정
10,2024,2,상장,N,적정
10,2024,3,상장,N,적정
10,2024,4,상장,N,기타/확인필요
10,2025,1,상장,N,기타/확인필요
10,2025,2,상장,N,기타/확인필요
10,2025,3,상장,N,기타/확인필요
20,2020,1,상장,N,기타/확인필요
20,2020,2,상장,N,기타/확인필요
20,2020,3,상장,N,기타/확인필요
20,2020,4,상장,N,적정
20,2021,1,상장,N,적정
20,2021,2,상장,N,적정
20,2021,3,상장,N,적정
20,2021,4,상장,N,적정
20,2022,1,상장,N,적정
20,2022,2,상장,N,적정
20,2022,3,상장,N,적정
20,2022,4,상장,N,적정
20,2023,1,상장,N,적정
20,2023,2,상장,N,적정
20,2023,3,상장,N,적정
20,2023,4,상장,N,적정
20,2024,1,상장,N,적정
20,2024,2,상장,N,기타/확인필요
20,2024,3,상장,N,기타/확인필요
20,2024,4,상장,N,기타/확인필요
20,2025,1,상장,N,기타/확인필요
20,2025,2,상장,N,기타/확인필요
20,2025,3,상장,N,기타/확인필요
30,2023,3,상장,N,기타/확인필요
30,2023,4,상장,N,기타/확인필요
30,2024,1,상장,N,기타/확인필요
30,2024,2,상장,N,기타/확인필요
30,2024,3,상장,N,기타/확인필요
30,2024,4,상장,N,기타/확인필요
30,2025,1,상장,N,기타/확인필요
30,2025,2,상장,N,기타/확인필요
30,2025,3,상장,N,기타/확인필요
40,2020,1,상장,N,기타/확인필요
40,2020,2,상장,N,적정
40,2020,3,상장,N,적정
40,2020,4,상장,N,적정
40,2021,1,상장,N,적정
40,2021,2,상장,N,적정
40,2021,3,상장,N,적정
40,2021,4,상장,N,적정
40,2022,1,상장,N,적정
40,2022,2,상장,N,적정
40,2022,3,상장,N,적정
40,2022,4,상장,N,적정
40,2023,1,상장,N,적정
40,2023,2,상장,N,적정
40,2023,3,상장,N,적정
40,2023,4,상장,N,적정
40,2024,1,상장,N,적정
40,2024,2,상장,N,기타/확인필요
40,2024,3,상장,N,기타/확인필요
40,2024,4,상장,N,기타/확인필요
40,2025,1,상장,N,기타/확인필요
40,2025,2,상장,N,기타/확인필요
40,2025,3,상장,N,기타/확인필요
50,2020,1,상장,N,기타/확인필요
50,2020,2,상장,N,기타/확인필요
50,2020,3,상장,N,기타/확인필요
50,2020,4,상장,N,기타/확인필요
50,2021,1,상장,N,기타/확인필요
50,2021,2,상장,N,적정
50,2021,3,상장,N,적정
50,2021,4,상장,N,적정
50,2022,1,상장,N,적정
50,2022,2,상장,N,적정
50,2022,3,상장,N,적정
50,2022,4,상장,N,적정
50,2023,1,상장,N,적정
50,2023,2,상장,N,적정
50,2023,3,상장,N,적정
50,2023,4,상장,N,적정
50,2024,1,상장,N,적정
50,2024,2,상장,N,기타/확인필요
50,2024,3,상장,N,기타/확인필요
50,2024,4,상장,N,기타/확인필요
50,2025,1,상장,N,기타/확인필요
50,2025,2,상장,N,기타/확인필요
50,2025,3,상장,N,기타/확인필요
60,2023,3,상장폐지,N,기타/확인필요
60,2023,4,상장폐지,N,적정
60,2024,1,상장폐지,N,적정
60,2024,2,상장폐지,N,기타/확인필요
60,2024,3,상장폐지,N,기타/확인필요
60,2024,4,상장폐지,N,기타/확인필요
60,2025,1,상장폐지,N,기타/확인필요
60,2025,2,상장폐지,N,기타/확인필요
60,2025,3,상장폐지,N,기타/확인필요
80,2020,1,상장,N,기타/확인필요
80,2020,2,상장,N,적정
80,2020,3,상장,N,적정
