CustID,Date,Category,Amount
1,2024-08-15,마트,229.18
1,2024-01-22,마트,260.44
1,2024-06-27,식당,60.57
1,2024-01-28,식당,186.85
1,2024-11-13,OTT,11.95
1,2024-09-19,식당,11.01
1,2024-08-13,식당,176.27
1,2024-06-26,OTT,26.29
1,2024-01-15,마트,237.64
1,2024-09-06,OTT,16.26
1,2024-04-22,여행,786.4
1,2024-06-14,OTT,23.41
1,2024-03-08,OTT,18.74
1,2024-12-14,OTT,11.87
1,2024-04-09,OTT,18.86
1,2024-06-21,OTT,22.18
1,2024-07-26,식당,133.25
1,2024-01-12,OTT,20.3
1,2024-06-20,식당,81.45
1,2024-06-27,식당,107.39
1,2024-09-28,식당,116.16
1,2024-04-18,편의점,47.64
1,2024-02-27,여행,152.53
1,2024-03-01,편의점,3.02
1,2024-03-10,식당,171.91
1,2024-01-20,마트,97.34
1,2024-06-09,편의점,6.8
1,2024-02-26,마트,116.42
1,2024-07-05,OTT,27.86
1,2024-05-17,OTT,19.97
1,2024-03-27,마트,262.75
1,2024-08-06,OTT,7.53
1,2024-06-14,마트,173.65
1,2024-07-17,마트,46.27
1,2024-09-02,마트,215.96
1,2024-04-15,OTT,5.54
1,2024-03-21,식당,30.42
1,2024-11-16,식당,130.48
1,2024-10-04,편의점,16.5
1,2024-09-21,OTT,15.43
1,2024-12-15,편의점,20.46
1,2024-09-20,OTT,29.79
1,2024-08-29,식당,113.95
1,2024-05-22,식당,199.46
1,2024-12-23,여행,866.17
1,2024-04-08,식당,66.17
1,2024-07-10,여행,860.03
1,2024-12-25,식당,150.03
1,2024-05-20,OTT,11.33
1,2024-10-16,여행,396.41
1,2024-12-07,마트,159.21
1,2024-10-16,OTT,25.9
1,2024-09-11,식당,155.02
1,2024-12-23,여행,720.22
1,2024-07-11,OTT,13.27
1,2024-04-27,OTT,23.34
1,2024-01-21,여행,264.59
1,2024-10-03,마트,20.07
1,2024-04-20,OTT,22.55
1,2024-02-26,편의점,23.1
1,2024-06-10,편의점,46.89
1,2024-04-08,OTT,24.8
1,2024-01-02,편의점,10.23
1,2024-11-21,여행,809.69
1,2024-09-03,마트,218.05
1,2024-04-21,식당,162.53
1,2024-03-02,마트,147.94
1,2024-02-24,마트,196.73
1,2024-08-09,식당,178.93
1,2024-06-08,OTT,27.01
1,2024-05-17,마트,288.91
1,2024-02-24,OTT,22.23
1,2024-05-12,여행,282.39
1,2024-05-17,식당,139.06
1,2024-06-02,식당,114.92
1,2024-01-27,OTT,24.83
1,2024-09-06,OTT,15.12
1,2024-01-21,OTT,5.78
1,2024-04-04,식당,88.1
1,2024-09-14,OTT,6.57
1,2024-08-23,OTT,18.59
1,2024-03-08,OTT,25.46
1,2024-06-18,편의점,7.18
1,2024-05-03,마트,102.29
1,2024-10-01,마트,273.6
1,2024-12-20,마트,73.5
1,2024-04-16,식당,172.25
1,2024-05-14,마트,48.3
1,2024-03-02,OTT,5.76
1,2024-01-03,편의점,14.42
1,2024-05-15,OTT,19.76
1,2024-03-13,편의점,3.34
1,2024-07-27,마트,43.04
1,2024-04-29,OTT,16.49
1,2024-11-28,식당,10.01
1,2024-09-16,여행,840.17
1,2024-10-10,편의점,46.76
1,2024-09-04,OTT,10.15
1,2024-11-18,식당,192.38
1,2024-05-22,OTT,15.33
1,2024-04-21,OTT,19.98
1,2024-04-19,OTT,15.11
1,2024-10-01,OTT,22.17
1,2024-01-10,마트,80.06
1,2024-12-20,여행,111.1
1,2024-01-24,OTT,19.91
1,2024-04-18,OTT,11.17
1,2024-07-14,OTT,18.32
1,2024-06-30,OTT,11.66
1,2024-01-11,OTT,17.54
1,2024-10-23,여행,414.75
1,2024-03-24,편의점,5.83
1,2024-04-16,여행,481.39
1,2024-12-17,편의점,31.63
1,2024-08-27,OTT,22.25
1,2024-02-16,편의점,42.21
1,2024-05-25,식당,103.58
1,2024-02-06,OTT,9.72
1,2024-08-19,편의점,16.08
1,2024-04-20,마트,217.92
1,2024-04-24,마트,233.54
1,2024-01-27,식당,77.82
1,2024-08-02,식당,34.64
2,2024-04-29,마트,105.93
2,2024-01-11,식당,18.5
2,2024-01-14,식당,191.89
2,2024-01-16,편의점,34.2
2,2024-04-14,마트,218.65
2,2024-09-29,여행,662.44
2,2024-12-14,편의점,4.91
2,2024-11-13,마트,249.34
2,2024-02-05,편의점,42.47
2,2024-02-25,식당,125.77
2,2024-08-24,마트,74.24
2,2024-10-03,여행,493.92
2,2024-03-09,마트,203.86
2,2024-10-30,여행,811.35
2,2024-06-07,편의점,2.29
2,2024-09-04,편의점,17.69
2,2024-10-08,식당,36.4
2,2024-09-19,마트,265.39
2,2024-10-20,마트,86.81
2,2024-10-24,식당,115.45
2,2024-11-14,OTT,7.5
2,2024-01-27,마트,198.07
2,2024-09-28,편의점,31.19
2,2024-08-06,식당,91.46
2,2024-04-24,편의점,48.89
2,2024-07-25,편의점,17.55
2,2024-02-12,식당,155.5
2,2024-08-16,마트,49.95
2,2024-04-26,편의점,32
2,2024-05-11,식당,142.1
2,2024-05-16,식당,178
2,2024-06-19,식당,21.08
2,2024-02-26,식당,177.17
2,2024-08-05,식당,172.69
3,2024-06-04,식당,48.31
3,2024-07-05,식당,107.51
3,2024-10-24,편의점,42.86
3,2024-10-20,OTT,25.76
3,2024-02-29,식당,19.51
3,2024-02-22,OTT,18.28
3,2024-06-24,식당,120.46
3,2024-04-13,OTT,26.57
3,2024-10-08,식당,24.36
3,2024-07-28,OTT,21.35
3,2024-04-24,편의점,2.44
3,2024-11-16,마트,177.64
3,2024-01-07,OTT,6.18
3,2024-05-17,여행,302.68
3,2024-09-10,마트,30.45
3,2024-03-31,여행,273.64
3,2024-05-05,OTT,12.16
3,2024-03-28,편의점,23.57
3,2024-09-15,OTT,14.89
3,2024-03-21,마트,172.37
3,2024-12-15,마트,13.65
3,2024-11-04,마트,165.09
3,2024-11-05,OTT,7.17
3,2024-05-14,OTT,23.85
3,2024-01-03,OTT,6.77
3,2024-05-13,식당,36.89
3,2024-02-01,OTT,28.11
3,2024-11-11,마트,285.23
3,2024-11-09,마트,254.82
3,2024-02-26,편의점,14.39
3,2024-12-07,OTT,29.99
3,2024-10-30,식당,53.67
3,2024-07-09,OTT,14.65
3,2024-12-05,마트,120.17
3,2024-06-08,편의점,30.46
3,2024-06-28,식당,71.41
3,2024-08-01,식당,178.64
3,2024-09-09,편의점,10.26
3,2024-01-21,마트,120.26
3,2024-08-21,마트,297.15
3,2024-05-11,OTT,16.21
3,2024-01-09,OTT,25.33
